X;PHI;DB;ALPHA;C;C2;C3
0.01;1;0;0;234.175094604492;230.863067626953;227.959594726563
0.0115;1;0;0;234.222244262695;231.243469238281;230.062850952148
0.013;1;0;0;234.225708007813;231.481628417969;230.485107421875
0.0145;1;0;0;234.201843261719;231.275299072266;230.804077148438
0.016;1;0;0;234.082046508789;231.455505371094;230.596115112305
0.0175;1;0;0;233.973678588867;231.52571105957;230.730209350586
0.019;1;0;0;234.247955322266;231.621841430664;230.800201416016
0.0205;1;0;0;234.277755737305;231.32958984375;230.590408325195
0.022;1;0;0;234.213272094727;231.408981323242;230.824493408203
0.0235;1;0;0;234.101837158203;231.429992675781;230.765106201172
0.025;1;0;0;234.263259887695;231.371017456055;230.655303955078
0.0265;1;0;0;231.727752685547;226.625717163086;230.570007324219
0.028;1;0;0;223.347351074219;218.29264831543;224.975509643555
0.0295;0.909066;0;0;213.393264770508;210.263259887695;214.334487915039
0.031;0.909066;0;0;203.743469238281;202.361633300781;204.338165283203
0.0325;0.909066;0;0;193.343872070313;192.729598999023;195.127960205078
0.034;0.909066;0;0;182.291839599609;184.847137451172;184.670196533203
0.0355;0.909066;0;0;160.016738891602;163.300811767578;172.591018676758
0.037;0.909066;0;0;138.797760009766;140.469390869141;153.547348022461
0.0385;0.81989;0;0;122.678977966309;123.788162231445;133.343063354492
0.04;0.81989;0;0;109.427551269531;106.160614013672;115.767753601074
0.0415;0.81989;0;0;96.2461242675781;92.6453094482422;99.621223449707
0.043;0.81989;0;0;83.3561248779297;78.6728591918945;83.998161315918
0.0445;0.81989;0;0;72.396125793457;65.6465301513672;71.2204055786133
0.046;0.81989;0;0;62.510612487793;55.1991844177246;60.43408203125
0.0475;0.81989;0;0;53.9569396972656;46.1144905090332;51.1475524902344
0.049;0.788654;0;0;45.4571418762207;39.0816345214844;43.187141418457
0.0505;0.788654;0;0;38.2893867492676;32.8991851806641;37.0385704040527
0.052;0.788654;0;0;30.9861221313477;27.6520404815674;31.6712245941162
0.0535;0.788654;0;0;24.6810207366943;22.8451023101807;27.0457134246826
0.055;0.788654;0;0;19.5781631469727;18.7767353057861;22.5157146453857
0.0565;0.788654;0;0;14.9275512695313;14.4085712432861;18.3295917510986
0.058;0.788654;0;0;10.632040977478;9.94326496124268;13.792857170105
0.0595;0.776008;0;0;7.24428558349609;5.69061231613159;9.84142875671387
0.061;0.776008;0;0;4.36591815948486;2.52857136726379;6.77836751937866
0.0625;0.776008;0;0;2.19448971748352;0.615510225296021;3.62551021575928
0.064;0.776008;0;0;0.820408165454865;0.153061226010323;1.52795922756195
0.0655;0.776008;0;0;0.271632641553879;0.0665306150913239;0.368367344141006
0.067;0.776008;0;0;0.0742857158184052;0.113061226904392;-0.00579999992623925
0.0685;0.776008;0;0;0.00265306117944419;0.102799996733665;-0.0742857158184052
0.07;0.781509;0;0;0.0271428562700748;-0.0338775515556335;0.00591836730018258
0.0715;0.781509;0;0;0.0659183636307716;0;-0.0383673459291458
0.073;0.781509;0;0;0.0314285717904568;0;0
